City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2021-09-18 01:10:05,64.3833,-173.3,43.59,65,100,12.62
1,Vaini,TO,2021-09-18 01:10:05,-21.2,-175.2,76.82,81,5,7.47
2,Katherine,AU,2021-09-18 01:10:06,-14.4667,132.2667,91.11,19,50,9.24
3,Cape Town,ZA,2021-09-18 01:05:47,-33.9258,18.4232,56.88,77,0,4.0
4,Ribeira Grande,PT,2021-09-18 01:10:06,38.5167,-28.7,69.19,79,99,6.91
5,Te Anau,NZ,2021-09-18 01:10:07,-45.4167,167.7167,46.89,81,80,3.58
6,Vila Velha,BR,2021-09-18 01:10:07,-20.3297,-40.2925,72.25,83,71,5.3
7,Puerto Ayora,EC,2021-09-18 01:09:35,-0.7393,-90.3518,67.55,95,93,3.0
8,Guerrero Negro,MX,2021-09-18 01:10:08,27.9769,-114.0611,71.15,74,32,19.22
9,Kummersbruck,DE,2021-09-18 01:10:08,49.4192,11.8883,55.81,94,6,1.61
10,Quatre Cocos,MU,2021-09-18 01:10:09,-20.2078,57.7625,69.1,87,7,8.48
11,Huaidian,CN,2021-09-18 01:10:09,33.4333,115.0333,77.7,70,83,10.45
12,Makakilo City,US,2021-09-18 01:10:10,21.3469,-158.0858,80.69,69,100,19.33
13,Mvangue,CM,2021-09-18 01:10:10,2.9667,11.5167,66.09,100,100,2.33
14,Norman Wells,CA,2021-09-18 01:10:10,65.282,-126.8329,51.08,63,100,10.07
15,Jamestown,US,2021-09-18 01:10:11,42.097,-79.2353,71.19,94,0,5.77
16,Ostrovnoy,RU,2021-09-18 01:10:11,68.0531,39.5131,41.74,80,100,8.34
17,Ushuaia,AR,2021-09-18 01:10:12,-54.8,-68.3,35.91,88,100,3.0
18,Busselton,AU,2021-09-18 01:10:12,-33.65,115.3333,59.04,84,85,15.37
19,Ilulissat,GL,2021-09-18 01:10:12,69.2167,-51.1,13.57,72,0,6.33
20,Punta Arenas,CL,2021-09-18 01:10:13,-53.15,-70.9167,39.06,87,100,3.02
21,Vanimo,PG,2021-09-18 01:10:13,-2.6741,141.3028,86.13,64,41,4.97
22,Barrow,US,2021-09-18 01:10:13,71.2906,-156.7887,30.72,90,100,9.51
23,Mahebourg,MU,2021-09-18 01:10:14,-20.4081,57.7,69.26,86,39,8.9
24,Lorengau,PG,2021-09-18 01:10:14,-2.0226,147.2712,84.43,73,100,11.07
25,Kitale,KE,2021-09-18 01:10:15,1.0157,35.0062,54.43,96,77,1.41
26,Hamilton,US,2021-09-18 01:10:15,39.1834,-84.5333,78.78,81,96,3.44
27,Nishihara,JP,2021-09-18 01:10:15,26.1842,127.7558,82.27,72,8,5.06
28,Cabo San Lucas,MX,2021-09-18 01:07:47,22.8909,-109.9124,87.8,78,74,8.01
29,Kailua,US,2021-09-18 01:10:16,21.4022,-157.7394,82.15,71,100,22.19
30,Mataura,NZ,2021-09-18 01:10:16,-46.1927,168.8643,53.47,45,4,2.86
31,Mar Del Plata,AR,2021-09-18 01:09:10,-38.0023,-57.5575,53.49,87,0,10.16
32,Nome,US,2021-09-18 01:07:02,64.5011,-165.4064,42.17,79,100,14.56
33,Port Alfred,ZA,2021-09-18 01:10:17,-33.5906,26.891,56.75,58,70,3.49
34,Carnarvon,AU,2021-09-18 01:10:17,-24.8667,113.6333,65.43,33,0,19.28
35,Letnyaya Stavka,RU,2021-09-18 01:10:18,45.4306,43.4472,52.56,71,3,6.44
36,Bognor Regis,GB,2021-09-18 01:10:18,50.7821,-0.6798,62.74,95,70,4.61
37,Kawalu,ID,2021-09-18 01:10:19,-7.3817,108.2082,75.4,86,83,2.3
38,Denpasar,ID,2021-09-18 01:10:19,-8.65,115.2167,79.83,82,100,10.89
39,Avarua,CK,2021-09-18 01:10:19,-21.2078,-159.775,74.95,70,16,18.05
40,Noumea,NC,2021-09-18 01:10:20,-22.2763,166.4572,70.27,47,0,12.59
41,Nanortalik,GL,2021-09-18 01:10:20,60.1432,-45.2371,37.69,84,100,14.2
42,Hilo,US,2021-09-18 01:09:32,19.7297,-155.09,89.28,83,100,3.0
43,Korla,CN,2021-09-18 01:10:21,41.7597,86.1469,69.15,33,0,4.52
44,Khonsa,IN,2021-09-18 01:10:21,27.0167,95.5667,67.23,100,100,0.54
45,Luorong,CN,2021-09-18 01:10:21,24.4058,109.6086,82.2,78,61,2.59
46,Kungurtug,RU,2021-09-18 01:10:22,50.5994,97.5228,50.09,56,11,1.16
47,Mangrol,IN,2021-09-18 01:10:22,21.1167,70.1167,79.16,88,83,9.31
48,Bluff,NZ,2021-09-18 01:10:22,-46.6,168.3333,53.8,59,5,5.26
49,Sao Felix Do Xingu,BR,2021-09-18 01:10:23,-6.6447,-51.995,78.8,49,15,2.89
50,Ancud,CL,2021-09-18 01:10:23,-41.8697,-73.8203,44.42,85,76,5.91
51,Atuona,PF,2021-09-18 01:10:23,-9.8,-139.0333,78.35,68,2,17.05
52,Rikitea,PF,2021-09-18 01:10:24,-23.1203,-134.9692,72.63,73,96,8.86
53,Swan River,CA,2021-09-18 01:10:24,52.1058,-101.2676,50.83,51,100,5.75
54,Sundsvall,SE,2021-09-18 01:10:25,62.3913,17.3063,45.97,68,100,2.98
55,Cidreira,BR,2021-09-18 01:10:25,-30.1811,-50.2056,61.16,95,60,11.03
56,Erenhot,CN,2021-09-18 01:10:25,43.6475,111.9767,67.24,34,1,10.31
57,Port Said,EG,2021-09-18 01:10:26,31.2565,32.2841,78.71,62,0,9.24
58,Muros,ES,2021-09-18 01:10:26,42.7762,-9.0603,60.24,94,2,5.21
59,Bathsheba,BB,2021-09-18 01:10:26,13.2167,-59.5167,81.95,70,4,11.59
60,Torbay,CA,2021-09-18 01:10:27,47.6666,-52.7314,57.27,84,80,12.15
61,Nemuro,JP,2021-09-18 01:10:27,43.3236,145.575,57.11,89,100,16.11
62,Hambantota,LK,2021-09-18 01:10:27,6.1241,81.1185,79.9,82,89,10.54
63,Ketchikan,US,2021-09-18 01:07:27,55.3422,-131.6461,45.9,95,100,4.7
64,Souillac,MU,2021-09-18 01:10:28,-20.5167,57.5167,69.37,86,43,6.31
65,Chauk,MM,2021-09-18 01:08:08,20.8833,94.8167,76.96,90,100,13.27
66,Albany,US,2021-09-18 01:06:08,42.6001,-73.9662,70.66,89,80,3.49
67,Chokurdakh,RU,2021-09-18 01:10:29,70.6333,147.9167,34.29,65,97,12.44
68,Pangkalanbuun,ID,2021-09-18 01:10:29,-2.6833,111.6167,81.01,81,44,5.48
69,Laela,TZ,2021-09-18 01:10:29,-8.5667,32.05,65.86,47,0,2.08
70,Georgetown,MY,2021-09-18 01:06:17,5.4112,100.3354,80.89,84,70,2.28
71,Loralai,PK,2021-09-18 01:10:30,30.3705,68.598,72.57,41,0,2.46
72,Salinopolis,BR,2021-09-18 01:10:30,-0.6136,-47.3561,79.27,82,1,10.87
73,Quang Ngai,VN,2021-09-18 01:10:31,15.1167,108.8,80.76,83,98,3.98
74,Port Macquarie,AU,2021-09-18 01:10:31,-31.4333,152.9167,73.02,49,93,12.48
75,Kapaa,US,2021-09-18 01:10:31,22.0752,-159.319,80.11,59,100,3.0
76,Araouane,ML,2021-09-18 01:10:32,18.9048,-3.5265,94.62,24,95,10.38
77,Qaanaaq,GL,2021-09-18 01:10:32,77.484,-69.3632,8.56,64,23,8.16
78,Sabang,ID,2021-09-18 01:10:33,5.8933,95.3214,82.69,75,37,7.78
79,Porto Novo,BJ,2021-09-18 01:10:33,6.4965,2.6036,77.47,90,24,6.85
80,Shache,CN,2021-09-18 01:10:34,38.4167,77.2406,67.17,30,0,5.7
81,Ankazoabo,MG,2021-09-18 01:10:34,-22.2833,44.5167,63.77,80,16,9.37
82,Pisco,PE,2021-09-18 01:10:34,-13.7,-76.2167,62.02,86,100,0.02
83,Bethel,US,2021-09-18 01:07:58,41.3712,-73.414,71.37,90,15,1.01
84,Yellowknife,CA,2021-09-18 01:10:35,62.456,-114.3525,45.88,62,100,10.96
85,Boueni,YT,2021-09-18 01:10:35,-12.9025,45.0761,76.44,73,4,2.98
86,Acapulco,MX,2021-09-18 01:10:35,16.8634,-99.8901,80.29,83,100,3.76
87,Klaksvik,FO,2021-09-18 01:10:36,62.2266,-6.589,51.06,79,64,12.53
88,Manokwari,ID,2021-09-18 01:10:36,-0.8667,134.0833,75.47,90,100,1.7
89,Meulaboh,ID,2021-09-18 01:10:37,4.1363,96.1285,77.52,90,100,4.38
90,Nikolayevsk-Na-Amure,RU,2021-09-18 01:10:37,53.1406,140.73,57.83,57,17,8.57
91,Kropotkin,RU,2021-09-18 01:10:38,45.4375,40.5756,53.92,74,1,4.61
92,Galle,LK,2021-09-18 01:10:38,6.0367,80.217,79.12,85,100,7.31
93,Sao Filipe,CV,2021-09-18 01:10:38,14.8961,-24.4956,78.89,77,53,7.36
94,Lata,PT,2021-09-18 01:10:39,40.1629,-8.3327,62.04,95,21,3.62
95,Kodiak,US,2021-09-18 01:10:39,57.79,-152.4072,53.01,68,12,12.86
96,Nurota,UZ,2021-09-18 01:10:40,40.5614,65.6886,75.07,13,0,6.38
97,Kindu,CD,2021-09-18 01:10:40,-2.95,25.95,70.34,98,100,1.77
98,Bonthe,SL,2021-09-18 01:10:40,7.5264,-12.505,76.91,88,98,6.17
99,Nhulunbuy,AU,2021-09-18 01:10:41,-12.2333,136.7667,82.29,53,82,17.65
100,Tura,IN,2021-09-18 01:10:41,25.5198,90.2201,72.64,96,100,3.51
101,Dikson,RU,2021-09-18 01:10:41,73.5069,80.5464,33.28,76,18,21.81
102,Chateaubelair,VC,2021-09-18 01:10:42,13.2833,-61.25,80.29,71,59,10.78
103,San Patricio,US,2021-09-18 01:10:42,28.017,-97.5169,85.15,61,7,11.21
104,Saint George,US,2021-09-18 01:10:43,37.1041,-113.5841,88.63,21,11,1.01
105,Sambava,MG,2021-09-18 01:10:43,-14.2667,50.1667,66.54,90,92,3.49
106,Airai,TL,2021-09-18 01:10:43,-8.9266,125.4092,73.72,27,31,5.95
107,Yulara,AU,2021-09-18 01:10:44,-25.2406,130.9889,68.95,23,0,16.35
108,Saint Anthony,US,2021-09-18 01:10:44,45.0205,-93.218,64.31,59,0,4.09
109,Brae,GB,2021-09-18 01:10:45,60.3964,-1.353,54.59,97,100,10.78
110,Katsuura,JP,2021-09-18 01:10:45,35.1333,140.3,76.75,87,100,24.96
111,Emerald,AU,2021-09-18 01:10:45,-23.5333,148.1667,77.52,40,0,13.2
112,Lubbock,US,2021-09-18 01:10:46,33.6001,-101.8338,80.53,40,0,2.73
113,Tuy Hoa,VN,2021-09-18 01:10:46,13.0833,109.3,77.65,90,100,2.91
114,Nouadhibou,MR,2021-09-18 01:10:47,20.931,-17.0347,73.89,78,100,14.45
115,Komsomolskiy,UZ,2021-09-18 01:10:47,40.4272,71.7189,65.35,29,0,0.76
116,Laguna,US,2021-09-18 01:10:47,38.421,-121.4238,88.65,46,0,5.99
117,Cibitoke,BI,2021-09-18 01:10:48,-2.8833,29.25,64.53,72,97,3.91
118,Ingham,US,2021-09-18 01:10:48,42.6,-84.3833,71.26,81,0,5.19
119,Hithadhoo,MV,2021-09-18 01:10:49,-0.6,73.0833,81.91,74,78,0.29
120,Villanueva De La Serena,ES,2021-09-18 01:10:49,38.9766,-5.7974,65.82,72,5,8.32
121,Chuy,UY,2021-09-18 01:09:01,-33.6971,-53.4616,54.86,96,2,6.69
122,Yumen,CN,2021-09-18 01:10:50,40.2833,97.2,67.53,28,38,18.54
123,Hermanus,ZA,2021-09-18 01:10:50,-34.4187,19.2345,54.9,79,0,20.71
124,Saint-Joseph,RE,2021-09-18 01:10:51,-21.3667,55.6167,66.2,77,16,2.93
125,Merauke,ID,2021-09-18 01:10:51,-8.4667,140.3333,80.78,67,99,14.92
126,Providencia,MX,2021-09-18 01:10:52,28.7167,-111.5833,93.2,64,5,11.99
127,Butaritari,KI,2021-09-18 01:10:52,3.0707,172.7902,82.27,75,25,13.31
128,Burnie,AU,2021-09-18 01:10:53,-41.0667,145.9167,51.46,75,20,18.7
129,Praia,CV,2021-09-18 01:10:53,14.9215,-23.5087,78.22,82,93,10.87
130,Nikolskoye,RU,2021-09-18 01:10:53,59.7035,30.7861,45.01,61,100,3.31
131,Araxa,BR,2021-09-18 01:10:24,-19.5933,-46.9406,70.63,46,0,4.72
132,Portland,US,2021-09-18 01:10:18,45.5234,-122.6762,77.61,50,100,3.0
133,Longyearbyen,SJ,2021-09-18 01:10:54,78.2186,15.6401,41.23,94,100,6.46
134,Dombegyhaz,HU,2021-09-18 01:10:54,46.3333,21.1333,57.83,80,8,6.46
135,Cabra,ES,2021-09-18 01:10:55,37.4725,-4.4421,75.4,72,0,3.85
136,Xuddur,SO,2021-09-18 01:10:55,4.1213,43.8894,72.1,73,83,12.06
137,Kendari,ID,2021-09-18 01:10:56,-3.945,122.4989,82.56,65,86,1.63
138,Sibu,MY,2021-09-18 01:10:56,2.3,111.8167,79.57,89,54,1.54
139,Khatanga,RU,2021-09-18 01:10:56,71.9667,102.5,30.38,80,12,11.34
140,Ponta Do Sol,PT,2021-09-18 01:10:57,32.6667,-17.1,75.0,80,45,3.27
141,New Norfolk,AU,2021-09-18 01:10:57,-42.7826,147.0587,55.71,62,81,8.01
142,Geraldton,AU,2021-09-18 01:10:58,-28.7667,114.6,59.49,56,0,7.47
143,Prokopyevsk,RU,2021-09-18 01:10:58,53.9059,86.719,52.84,93,100,10.54
144,Mbalmayo,CM,2021-09-18 01:10:58,3.5167,11.5,65.7,100,100,2.33
145,Bambous Virieux,MU,2021-09-18 01:10:59,-20.3428,57.7575,69.22,86,25,9.08
146,Thompson,CA,2021-09-18 01:10:59,55.7435,-97.8558,46.87,62,100,0.85
147,Saldanha,ZA,2021-09-18 01:10:59,-33.0117,17.9442,57.4,58,0,17.45
148,Tuktoyaktuk,CA,2021-09-18 01:11:00,69.4541,-133.0374,44.82,78,48,8.43
149,Ilhabela,BR,2021-09-18 01:11:00,-23.7781,-45.3581,69.03,95,100,9.33
150,Saskylakh,RU,2021-09-18 01:11:01,71.9167,114.0833,33.26,82,91,9.82
151,East London,ZA,2021-09-18 01:11:01,-33.0153,27.9116,57.27,59,42,2.28
152,Tigil,RU,2021-09-18 01:11:01,57.8,158.6667,59.47,45,39,12.62
153,Morbach,DE,2021-09-18 01:11:02,49.8167,7.1167,50.2,90,57,1.3
154,Peniche,PT,2021-09-18 01:11:02,39.3558,-9.3811,66.11,83,8,19.39
155,Camabatela,AO,2021-09-18 01:11:03,-8.1881,15.375,61.66,94,100,6.53
156,Torbat-E Jam,IR,2021-09-18 01:11:03,35.244,60.6225,70.99,46,0,12.12
157,Hobart,AU,2021-09-18 01:07:16,-42.8794,147.3294,56.05,62,94,3.0
158,Izumo,JP,2021-09-18 01:11:04,35.3667,132.7667,71.83,93,100,11.12
159,Bengkulu,ID,2021-09-18 01:11:04,-3.8004,102.2655,79.27,75,85,3.15
160,Castro,BR,2021-09-18 01:11:04,-24.7911,-50.0119,57.83,98,100,3.74
161,Asosa,ET,2021-09-18 01:11:05,10.0667,34.5333,59.32,92,95,1.01
162,Urumqi,CN,2021-09-18 01:11:05,43.801,87.6005,69.03,23,97,7.65
163,Morant Bay,JM,2021-09-18 01:11:06,17.8815,-76.4093,78.66,85,61,8.21
164,Hope,US,2021-09-18 01:09:27,33.6671,-93.5916,79.23,87,4,5.06
165,Salalah,OM,2021-09-18 01:11:06,17.0151,54.0924,78.64,92,98,5.73
166,Altay,CN,2021-09-18 01:11:07,47.8667,88.1167,60.19,28,100,4.81
167,Hearst,CA,2021-09-18 01:11:07,49.6835,-83.6665,54.21,58,0,11.68
168,Tiksi,RU,2021-09-18 01:11:07,71.6872,128.8694,35.08,73,100,16.06
169,Saint-Philippe,RE,2021-09-18 01:11:08,-21.3585,55.7679,67.21,78,13,3.89
170,Dali,CN,2021-09-18 01:11:08,25.7,100.1833,62.35,94,97,4.18
171,Arraial Do Cabo,BR,2021-09-18 01:11:08,-22.9661,-42.0278,69.64,93,100,13.29
172,Hami,CN,2021-09-18 01:11:09,42.8,93.45,71.46,31,12,7.74
173,Isangel,VU,2021-09-18 01:11:09,-19.55,169.2667,72.72,73,100,19.35
174,Pevek,RU,2021-09-18 01:11:10,69.7008,170.3133,31.53,97,100,9.75
175,Pokhara,NP,2021-09-18 01:11:10,28.2333,83.9833,68.94,79,1,3.96
176,Port Elizabeth,ZA,2021-09-18 01:11:10,-33.918,25.5701,48.09,71,12,4.85
177,Sorong,ID,2021-09-18 01:10:52,-0.8833,131.25,77.5,88,100,6.91
178,Grootfontein,NA,2021-09-18 01:11:11,-19.5667,18.1167,65.57,16,0,9.33
179,Cherskiy,RU,2021-09-18 01:11:11,68.75,161.3,37.22,94,100,10.07
180,Lavrentiya,RU,2021-09-18 01:11:12,65.5833,-171.0,41.76,65,94,11.43
181,Bafoulabe,ML,2021-09-18 01:11:12,13.8065,-10.8321,77.13,90,32,2.73
182,Taree,AU,2021-09-18 01:11:12,-31.9,152.4667,80.58,31,91,5.03
183,Ust-Kut,RU,2021-09-18 01:11:13,56.7938,105.7672,45.43,61,88,3.36
184,Kirensk,RU,2021-09-18 01:11:13,57.7853,108.1119,42.26,66,12,1.86
185,Kahului,US,2021-09-18 01:11:14,20.8947,-156.47,80.96,76,99,14.43
186,Henties Bay,NA,2021-09-18 01:11:14,-22.116,14.2845,52.86,91,2,2.64
187,Yambio,SS,2021-09-18 01:11:15,4.5721,28.3955,67.75,98,100,2.62
188,Mnogovershinnyy,RU,2021-09-18 01:11:15,53.9353,139.9242,50.65,56,20,8.43
189,Salmas,IR,2021-09-18 01:11:15,38.1973,44.7653,57.02,50,0,4.59
190,Kavaratti,IN,2021-09-18 01:11:16,10.5669,72.642,81.05,80,40,11.27
191,Ginda,IN,2021-09-18 01:11:16,30.6945,78.4932,63.41,91,31,2.44
192,Yarkovo,RU,2021-09-18 01:11:16,57.4028,67.0786,37.8,90,97,9.15
193,Port Hardy,CA,2021-09-18 01:11:17,50.6996,-127.4199,50.38,95,100,16.6
194,Wattegama,LK,2021-09-18 01:11:17,6.7989,81.4808,75.49,92,100,3.67
195,Ambon,ID,2021-09-18 01:11:17,-3.6954,128.1814,76.19,92,100,15.35
196,Tasiilaq,GL,2021-09-18 01:11:18,65.6145,-37.6368,27.01,57,100,2.57
197,Biltine,TD,2021-09-18 01:11:18,14.5333,20.9167,77.94,71,100,17.56
198,Chilca,PE,2021-09-18 01:11:19,-12.5211,-76.7372,59.85,87,47,9.26
199,Swellendam,ZA,2021-09-18 01:11:19,-34.0226,20.4417,47.8,82,0,5.39
200,Talnakh,RU,2021-09-18 01:11:20,69.4865,88.3972,38.93,66,86,3.98
201,Moerai,PF,2021-09-18 01:11:20,-22.4333,-151.3333,72.19,67,2,15.95
202,Tual,ID,2021-09-18 01:11:21,-5.6667,132.75,79.59,84,100,17.25
203,Severo-Kurilsk,RU,2021-09-18 01:11:21,50.6789,156.125,53.78,66,2,7.96
204,Clinton,US,2021-09-18 01:11:21,42.587,-82.9199,77.05,76,0,5.64
205,Karasjok,NO,2021-09-18 01:11:22,69.4719,25.5112,33.17,93,62,8.12
206,Lewisporte,CA,2021-09-18 01:11:22,49.2499,-55.0482,55.13,74,100,8.12
207,Dharchula,IN,2021-09-18 01:11:23,29.85,80.5333,68.95,87,0,2.73
208,Troitsko-Pechorsk,RU,2021-09-18 01:11:23,62.7084,56.1964,36.7,82,100,13.29
209,Mackenzie,CA,2021-09-18 01:11:23,55.2999,-123.1698,41.79,98,100,3.44
210,Orlik,RU,2021-09-18 01:11:24,52.5178,99.825,49.44,52,11,2.42
211,Spornoye,RU,2021-09-18 01:11:24,50.8448,37.2913,50.41,76,100,13.85
212,San Jeronimo,PE,2021-09-18 01:11:25,-11.9472,-75.2829,53.51,65,76,3.56
213,Sokolo,ML,2021-09-18 01:11:25,14.7328,-6.1219,79.47,64,100,1.59
214,Maymyo,MM,2021-09-18 01:11:25,22.0333,96.4667,68.02,93,100,1.61
215,Westport,US,2021-09-18 01:11:26,41.1415,-73.3579,72.79,93,42,5.01
216,Nichinan,JP,2021-09-18 01:11:26,31.6,131.3667,82.6,69,7,5.75
217,Rosetta,EG,2021-09-18 01:11:27,31.4044,30.4164,76.69,64,0,11.39
218,San Quintin,MX,2021-09-18 01:10:00,30.4833,-115.95,70.11,71,0,12.19
219,Praia Da Vitoria,PT,2021-09-18 01:11:27,38.7333,-27.0667,68.76,77,100,5.19
220,Alzenau,DE,2021-09-18 01:11:28,50.0834,9.0666,56.3,82,14,1.68
221,Sjenica,RS,2021-09-18 01:11:28,43.2731,19.9994,52.2,98,27,3.38
222,Marawi,PH,2021-09-18 01:11:29,7.9986,124.2928,72.64,68,100,1.41
223,Luderitz,NA,2021-09-18 01:11:29,-26.6481,15.1594,55.92,75,0,17.29
224,Marzuq,YE,2021-09-18 01:11:29,14.4,46.4667,79.21,38,65,4.45
225,Atasu,KZ,2021-09-18 01:11:30,48.6814,71.6433,44.24,82,0,6.08
226,Nantucket,US,2021-09-18 01:09:42,41.2835,-70.0995,70.0,94,38,14.88
227,Blatec,MK,2021-09-18 01:11:30,41.8378,22.5781,64.36,61,40,2.68
228,Maputo,MZ,2021-09-18 01:11:31,-25.9653,32.5892,60.22,79,94,10.0
229,Puerto Escondido,MX,2021-09-18 01:11:31,15.85,-97.0667,80.35,85,100,2.3
230,Alexander City,US,2021-09-18 01:11:31,32.944,-85.9539,76.41,97,84,3.31
231,Shaunavon,CA,2021-09-18 01:07:40,49.6501,-108.4181,64.18,16,90,13.22
232,Rumphi,MW,2021-09-18 01:11:32,-11.0186,33.8575,65.53,65,0,4.23
233,Villa De Alvarez,MX,2021-09-18 01:11:32,19.25,-103.7333,73.83,97,100,2.48
234,Shymkent,KZ,2021-09-18 01:11:33,42.3,69.6,69.89,14,0,3.47
235,Belmonte,BR,2021-09-18 01:11:33,-15.8631,-38.8828,70.45,73,2,6.98
236,Bonavista,CA,2021-09-18 01:11:33,48.6499,-53.1147,58.12,73,78,14.99
237,Samarai,PG,2021-09-18 01:11:34,-10.6167,150.6667,78.28,84,100,19.51
238,Carballo,ES,2021-09-18 01:11:35,43.213,-8.691,61.86,92,7,1.48
239,Sitka,US,2021-09-18 01:09:27,57.0531,-135.33,48.96,89,100,5.79
240,Oga,IT,2021-09-18 01:11:35,46.4631,10.347,52.68,89,18,1.52
241,Huari,PE,2021-09-18 01:11:36,-9.3333,-77.2333,45.82,78,80,4.34
242,Buraydah,SA,2021-09-18 01:11:36,26.326,43.975,80.13,22,18,6.24
243,Esperance,AU,2021-09-18 01:11:37,-33.8667,121.9,57.92,56,34,20.76
244,Comodoro Rivadavia,AR,2021-09-18 01:09:36,-45.8667,-67.5,54.39,43,3,11.97
245,San Roque,ES,2021-09-18 01:11:37,36.2107,-5.3842,69.87,71,0,5.68
246,Pytalovo,RU,2021-09-18 01:11:37,57.0679,27.9138,37.15,78,100,10.29
247,Upernavik,GL,2021-09-18 01:11:38,72.7868,-56.1549,30.18,82,100,12.59
248,Contamana,PE,2021-09-18 01:11:38,-7.3333,-75.0167,73.36,87,59,2.06
249,Okha,RU,2021-09-18 01:11:38,53.5739,142.9478,58.42,66,76,15.73
250,Richards Bay,ZA,2021-09-18 01:11:39,-28.783,32.0377,61.54,70,97,10.13
251,Hasaki,JP,2021-09-18 01:11:39,35.7333,140.8333,76.26,86,100,25.55
252,Lakes Entrance,AU,2021-09-18 01:11:40,-37.8811,147.981,69.57,56,5,7.25
253,Boshnyakovo,RU,2021-09-18 01:11:40,49.6333,142.1667,62.37,67,99,14.27
254,Kaitangata,NZ,2021-09-18 01:11:40,-46.2817,169.8464,51.42,50,6,8.21
255,Tacoronte,ES,2021-09-18 01:07:21,28.4769,-16.4102,69.26,81,34,1.01
256,Saint Andrews,US,2021-09-18 01:11:41,34.0454,-81.1293,75.99,81,10,4.0
257,Ulety,RU,2021-09-18 01:11:41,51.3572,112.4849,48.7,74,100,6.22
258,Boca Do Acre,BR,2021-09-18 01:11:42,-8.7522,-67.3978,74.91,84,51,1.32
259,Beringovskiy,RU,2021-09-18 01:11:42,63.05,179.3167,48.83,49,7,8.32
260,Kintinku,TZ,2021-09-18 01:11:42,-5.8833,35.2333,72.34,57,3,3.56
261,Tocopilla,CL,2021-09-18 01:06:55,-22.092,-70.1979,62.74,70,100,7.02
262,Ossora,RU,2021-09-18 01:11:43,59.2353,163.0719,57.18,65,11,3.96
263,Lebu,CL,2021-09-18 01:11:43,-37.6167,-73.65,50.61,85,100,8.99
264,Muhos,FI,2021-09-18 01:11:44,64.808,25.9931,39.88,81,100,3.04
265,Hervey Bay,AU,2021-09-18 01:11:44,-25.2986,152.8535,77.04,54,0,9.24
266,Carlagan,PH,2021-09-18 01:11:45,14.975,122.0456,84.06,75,6,6.46
267,Maracacume,BR,2021-09-18 01:11:45,-2.0428,-45.9592,72.95,96,3,3.83
268,Vardo,NO,2021-09-18 01:11:45,70.3705,31.1107,42.51,77,21,15.43
269,Bam,IR,2021-09-18 01:11:46,29.106,58.357,79.7,10,5,4.05
270,Alasehir,TR,2021-09-18 01:11:46,38.3508,28.5172,69.31,40,6,1.92
271,Panama City,PA,2021-09-18 01:08:43,8.9936,-79.5197,80.17,84,100,6.76
272,Sinnamary,GF,2021-09-18 01:11:47,5.3833,-52.95,79.07,85,50,8.34
273,Tolmin,SI,2021-09-18 01:11:47,46.183,13.7332,66.22,82,78,4.52
274,Constitucion,CL,2021-09-18 01:09:35,-35.3333,-72.4167,51.13,88,99,12.33
275,Lazaro Cardenas,MX,2021-09-18 01:11:48,17.9583,-102.2,79.66,84,78,1.99
276,Alice Springs,AU,2021-09-18 01:11:48,-23.7,133.8833,68.65,38,20,19.3
277,Bredasdorp,ZA,2021-09-18 01:11:49,-34.5322,20.0403,54.28,85,0,12.5
278,Jadu,LY,2021-09-18 01:11:49,31.953,12.0261,74.59,25,0,17.74
